REGISTRO;CIUDAD;F1;F2;F6;F7;P1_1;P1_2;P1_3;P2;P3;P4;P5;P6;P7;P8;P9;P9A;P10_1;P10_2;P10_3;P10_4;P10_5;P11;P12;P13;P14;P15;P16;P17_1;P17_2;P17A;P18_1;P18_2;P18_3;P18_4;P18_5;P18_6;P18_7;P18_8;P18_9;P18_10;P18A_1;P18A_2;P18A_3;P18A_4;P18A_5;P18A_6;P18A_7;P18A_8;P18A_9;P18A_10;P18A_11;P19_1;P19_2;P19_3;P19_4;P19_5;P19_6;P19_7;P19_8;P19A_1;P19A_2;P19A_3;P20_1;P20_2;P20_3;P21_1;P21_2;P21_3;P21_4;P22;P23;P24_1;P24_2;P25_1;P25_2;P25_3;P25_4;P26_1;P26_2;P26_3;P27_1;P27_2;P27_3;P27_4;P27_5;P27_6;P27_7;P27_8;P27_9;P27_10;P27_11;P27A_1A;P27A_2A;P27A_3A;P27A_4A;P27A_5A;P27A_6A;P27A_7A;P27A_8A;P27A_9A;P27A_10A;P27A_1;P27A_2;P27A_3;P27A_4;P27A_5;P27A_6;P27A_7;P27A_8;P27A_9;P27A_10;P27A_11;P27A_9999;P28_1;P28_2;P28_3;P28_4;P28_OTRO1_1;P28_OTRO1_2;P28_OTRO1_3;P28_OTRO2;P29_1;P29_2;P30;P31_ENTBAN;P31_FINCOM_1;P31_FINCOM_2;P31_FINESA;P31_FINANZ;P31_OCCI_1;P31_OCCI_2;P31_SUFI_1;P31_SUFI_2;P31_OTROS;P32_1;P32_2;P32_3;P32_4;P32_5;P32_6;P32_7;P32_8;P32_9;P32_10;P33_1;P33_2;P34_1;P34_2;P34_3;P35_1;P35_2;P36_1;P36_2;P36_3;P37_1;P37_2;P38;P39_1;P39_2;P39_3;P40_1;P40_2;P41_1;P41_2;P42_1;P42_2;P42_3;P42_4;P42_5;P42_6;P42_7;P42_8;P42_9;P42_10;P42_11;P43_1;P43_2;P43_3;P43_4;P43_5;P43_6;P43_7;P43_8;P43_9;P43_10;P43_11;P43_12;P43_13;P43_14;P43_15;P43_16;P43_17;P43_18;P43_19;P44_1;P44_2;P44_3;P44_4;P44_5;P44_6;P44_7;P44_8;P44_9;P44_10;P44_11;P44_12;P44_13;P44_14;P44_15;P44_16;P45;P45A;P46_1;P46_2;P46_3;P46_4;P46_5;P47_1;P47_2;P47_3;P47_4;P47_5;P47_6;P47_7;P47_8;P47_9;P47_1;P47_2;P47_3;P47_4;P47_5;P47_6;P47_7;P47_8;P47_9;P51;P52_1;P52_2;P52_3;P52_4;P52_5;P52_6;P53_1;P53_2;P53_3;P53_1;P53_2;P53_3;P53_4;P53_5;P53_6;P53_7;P53_8;P53_9;P54;P55_1;P55_2;P55_3;P55_4;P55_1;P55_2;P55_3;P55_4;P55_5;P55_6;P59_1;P59_2;P59_3;P59_4;P59A_OTRO;P59B_OTRO;P59C_OTRO;P59D_OTRO;P59E_OTRO;P59F_OTRO;P60_1;P60_2;P60_3;P60_4;P60_5;P60_OTRO;P62_1;P62_2;P62_3;P62_4;P62_5;P62_6;P62;P62A_OTRO;P62B_OTRO;P62C_OTRO;P62D_OTRO;P62E_OTRO;P62F_OTRO;P64_1;P64_2;P64A_OTRO;P64B_OTRO;P64C_OTRO;P64D_OTRO;P64E_OTRO;P64F_OTRO;D1;D2;D3
54;2;2;1;1;4;1;3;;1;1;-;-;1;1;-;2;-;-;;;;;-;-;-;-;-;-;-;;-;4;5;5;1;5;5;5;3;4;4;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;-;;;1;;;4;3;;;3;5;-;;-;;;;-;;;6;9;11;8;5;10;1;;;;;6;1;8;9;10;;;;;;-1; ;5; ;-;2; ;3;4;-5;-;Ç;-;;;;-;;;-;-;;5;-;-;;-;-;1;3;-;;-;4;5;3;4;2;4;4;4;5;4;1;2;8;;;8;;7;;;-;;-;10;;;7;;1;6;5;3;1;2;4;5;5;5;5;5;4;4;4;2;5;5;3;5;4;4;5;5;2;5;4;5;5;5;1;-;1;3;5;1;5;2;5;5;4;5;4;4;1;5;3;2;1;1;4;6;7;8;;800;33;12;13;;;;;;-;-;-;CARTOON NEWOR;-;HBO, HISTORY CHANEL;HISTORY CHANEL;TNT;-;2;-;;;;;;-;;;-;-;-;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;1;13;14;15;DOCMENTALES DE CASOS CRIMINALES;PROGRAMAS SOBRE BAILE;TEMAS DE BELLEZA;-;-;-;1;3;4;5;6;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;1;6;7
52;2;2;1;2;3;3;2;;2;1;-;-;1;3;1;-;5;-;;;;;-;-;-;-;-;-;-;;-;4;4;5;5;5;4;4;4;3;4;4;4;5;5;5;4;4;4;3;4;2;-;;;;;;;;2;7;;1;;;5;4;2;;2;-;-;;1;2;;;1;;;11;8;1;7;;;;;;;;8;1;11;7;;;;;;;2; ; ; ; ; ;-4;12; ; ;3; ;1;5;;;102;;;-;5;;6;-;-;;-;-;-;;3;;-;4;4;3;3;4;5;3;3;5;4;1;;7;;;4;7;6;;;-;;-;6;;;3;;1;;5;4;3;2;4;4;5;5;3;4;3;4;3;2;4;4;4;4;4;3;4;5;3;4;4;4;4;5;4;5;2;3;4;1;4;4;4;2;4;1;1;5;4;3;3;3;1;1;1;2;7;;;3;2;1;24;12;;;;;TELEANTIOQUIA , RCN;CARACOL;-;-;-;-;DISCOVERY CHANEL,HISTORY CHANEL;-;-;1;8;;;;;;21;800;;-;-;-;-;-;-;-;LA MEGA, LATINA STEREO;-;1;5;6;9;7;VEA;CARAS;0;-;-;-;1;12;;;Temas religiosos;-;-;-;-;-;1;4;3;6;;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;2;3;5
43;2;2;1;2;3;3;;;2;1;-;-;2;1;-;4;-;-;;;;;-;-;-;-;-;-;-;;-;4;4;4;4;5;5;4;4;4;1;-;-;-;-;-;-;-;-;-;-;-;1;2;3;4;5;6;7;8;-;;;5;;;6;;;;4;2;-;;2;1;3;4;6;;;7;10;1;;;;;;;;;7;1;10;;;;;;;;2; ; ; ; ; ;1; ; ;3; ; ;1;;;;102;103;;-;1;;2;-;1;;-;-;-;;-;;-;4;1;1;3;4;3;5;2;4;3;1;8;5;;;5;;14;;;800;;-;1;;;3;;8;;3;4;2;1;4;3;4;5;5;1;5;5;2;5;3;3;5;4;4;3;5;4;4;5;4;5;4;5;3;-;3;5;4;1;5;4;4;4;3;4;2;3;4;5;4;2;2;2;-;;;;;-;;;;;;;;;-;-;-;-;-;-;-;-;-;1;1;;;;;;1;2;;BLU RADIO NOTICIAS;-;-;-;-;-;-;-;-;1;2;3;4;12;MOTOR;ROLLISTON;DINERO;-;-;-;1;6;7;8;FINANZAS;EMPRENDIMIENTOS;VENTAS;-;-;-;6;1;2;;;Google;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;2;1;5
45;2;2;1;1;4;3;4;;1;1;-;-;1;1;-;2;-;-;;;;;-;-;-;-;-;-;-;;-;4;5;2;1;5;1;1;2;1;1;-;-;-;-;-;-;-;-;-;-;-;6;1;2;;;;;;-;;;5;;;1;3;;;3;10;-;;1;;;;1;;;3;6;;;;;;;;;;3;;;;;;;;;; ; ;1; ; ;-; ; ; ; ; ; ;1;;;;102;105;103;-;1;;992;-;-;;-;-;-;;-;;994;5;5;5;5;5;5;5;5;5;5;1;;6;;;2;;800;;;2;;-;2;4;;2;;994;;5;5;5;5;5;5;5;5;5;5;5;5;2;2;5;5;5;5;5;5;5;5;5;5;4;5;2;1;1;-;1;5;1;1;4;4;1;1;5;5;5;5;5;5;4;5;2;2;-;;;;;-;;;;;;;;;-;-;-;-;-;-;-;-;-;2;-;;;;;;-;;;-;-;-;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;1;9;;;ENTRETENIMIENTO;-;-;-;-;-;1;2;;;;Google;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;2;3;4
33;2;1;1;2;3;-;;;-;-;-;-;-;-;-;-;-;5;;;;;1;7;1;2;3;4;-;;3;5;5;5;5;5;1;5;5;3;5;5;5;5;5;5;1;5;5;3;5;4;-;;;;;;;;6;1;2;1;;;3;5;;;1;-;1;;3;5;;;1;;;2;5;;;;;;;;;;2;5;;;;;;;;; ;1; ; ;2; ; ; ; ; ; ; ;1;;;;110;111;;-;1;;6;-;-;;-;-;-;;1;2;-;5;5;3;3;3;2;4;3;5;5;1;;2;3;;2;;2;;;2;;2;2;;;1;7;3;4;5;5;5;3;3;5;5;2;1;3;1;5;3;3;5;3;5;5;5;3;5;3;3;3;5;5;3;5;3;4;3;5;3;3;5;5;5;2;4;1;3;3;3;2;3;1;1;1;7;;;;;1;13;;;;;;;;-;-;-;-;-;-;caracol noticias, tnt;-;-;2;-;;;;;;-;;;-;-;-;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;2;;;;-;-;-;-;-;-;1;6;;;;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;2;3;5
45;2;2;1;1;4;3;4;;1;1;-;-;1;1;-;2;-;-;;;;;-;-;-;-;-;-;-;;-;4;5;2;1;5;1;1;2;1;1;-;-;-;-;-;-;-;-;-;-;-;1;;;;;;;;-;;;5;;;1;3;;;3;10;-;;3;;;;6;;;3;6;;;;;;;;;;3;;;;;;;;;; ; ;1; ; ;-; ; ; ; ; ; ;1;5;4;;102;104;;-;1;4;992;-;-;;-;-;-;;-;;994;5;5;5;5;5;5;5;5;5;5;1;;6;;;2;;800;;;-;;-;2;4;;2;;994;;5;5;5;5;5;5;5;5;5;5;5;5;2;2;5;5;5;5;5;5;5;5;5;5;4;5;2;1;1;-;1;5;1;1;4;4;1;1;5;5;5;5;5;5;4;5;2;2;-;;;;;-;;;;;;;;;-;-;-;-;-;-;-;-;-;2;-;;;;;;-;;;-;-;-;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;7;;;;ENTRETENIMIENTO;-;-;-;-;-;1;2;;;;Google;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;2;3;4
38;8;1;1;2;4;-;;;-;-;-;-;-;-;-;-;-;2;;;;;1;3;2;2;1;-;1;;-;5;4;5;3;5;5;5;5;4;3;-;-;-;-;-;-;-;-;-;-;-;1;2;3;7;;;;;-;;;1;;;1;;;;6;-;-;;1;5;;;6;;;3;11;;;;;;;;;;3;11;;;;;;;;; ; ;2; ; ; ; ; ; ; ;-1; ;1;2;;;109;;;204;2;;6;-;-;;-;-;-;;3;;-;5;4;4;4;4;4;4;4;3;4;1;;2;;;3;;3;;;1;800;4;6;;;3;;2;;5;5;5;5;5;5;5;5;1;4;2;1;3;3;4;4;1;3;3;4;4;4;3;4;3;4;5;5;5;-;4;5;4;3;4;5;5;3;5;2;3;4;4;4;3;3;2;1;7;;;;;24;800;;;;;;;;-;-;-;-;-;-;Discovery chAnel star chanel;-;-;2;-;;;;;;-;;;-;-;-;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;1;2;;;Google;-;-;-;-;-;1;;;;;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;2;1;6
41;8;1;1;2;3;-;;;-;-;-;-;-;-;-;-;-;2;;;;;3;2;2;2;1;-;1;;-;4;4;5;3;4;3;5;3;3;3;-;-;-;-;-;-;-;-;-;-;-;1;2;;;;;;;-;;;1;3;;1;3;;;2;-;-;;1;;;;3;;;2;3;5;8;10;11;;;;;;2;3;5;8;10;11;;;;; ;1;-2; ;-4; ; ;-3; ;-6;-5; ;1;;;;106;;;-;1;;3;-;-;;1;-;-;;-;;-;4;4;4;4;3;4;4;4;4;4;5;;5;;;4;;13;;;4;;6;6;;;6;;6;11;4;4;3;3;4;4;4;4;3;4;3;4;4;3;4;4;4;4;3;4;4;4;4;4;4;3;4;4;4;-;4;4;4;2;5;3;4;4;4;4;4;4;3;4;4;3;2;2;-;;;;;-;;;;;;;;;-;-;-;-;-;-;-;-;-;2;-;;;;;;-;;;-;-;-;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;2;;;;-;-;-;-;-;-;1;;;;;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;2;3;4
40;8;1;1;3;3;-;;;-;-;-;-;-;-;-;-;-;2;;;;;1;1;3;2;1;-;1;;-;4;4;4;3;4;3;4;2;2;2;-;-;-;-;-;-;-;-;-;-;-;1;2;3;4;5;6;7;8;-;;;3;;;1;3;;;5;-;-;;1;;;;1;;;3;5;11;;;;;;;;;3;5;11;;;;;;;; ; ;1; ;-2; ; ; ; ; ;-3; ;1;;;;102;;;-;1;;4;-;-;;-;1;-;;-;;-;4;4;4;3;4;3;3;3;4;4;1;;4;;;3;;12;;;4;;5;7;;;9;;7;;5;4;2;2;4;4;5;2;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;-;1;4;3;1;5;4;5;1;4;2;2;4;3;4;1;2;2;1;7;;;;;800;;;;;;;;;-;-;-;-;-;-;SEÑAL COLOMBIA;-;-;2;-;;;;;;-;;;-;-;-;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;1;2;4;5;Googloo;Faceboo k;Youtube;-;-;-;1;;;;;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;2;3;5
60;8;2;1;2;3;1;2;;2;2;1;4;2;1;-;1;-;-;;;;;-;-;-;-;-;-;-;;-;4;4;5;4;4;4;5;4;4;4;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;-;;;1;2;3;1;3;4;;5;-;-;;-;;;;-;;;2;3;10;11;;;;;;;;10;3;2;11;;;;;;; ;3;2; ; ; ; ; ; ;1;4; ;-;;;;-;;;-;-;;5;-;-;;-;-;1;;-;;-;4;4;4;4;4;4;4;4;4;3;1;;5;;;9;;17;;;-;;6;2;4;;3;;6;;4;4;2;2;4;4;4;4;3;3;3;4;4;2;4;4;4;2;3;4;4;4;3;2;4;3;4;4;3;-;3;4;4;3;4;2;4;3;3;3;2;4;3;4;3;3;2;1;7;;;;;34;;;;;;;;;-;-;-;-;-;-;Fox deportes;-;-;1;3;;;;;;6;;;-;-;Radio uno;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;1;11;17;18;Mercado libre;Olx;Ale express;-;-;-;1;4;5;;;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;2;1;5
39;8;2;1;2;3;5;;;2;1;-;-;1;1;-;1;-;-;;;;;-;-;-;-;-;-;-;;-;3;4;5;2;5;5;5;4;3;2;-;-;-;-;-;-;-;-;-;-;-;2;7;5;;;;;;-;;;5;;;4;;;;5;-;-;;3;5;;;1;;;1;2;3;7;8;;;;;;;1;2;3;7;8;;;;;;1;4;3; ; ; ;2;5; ; ; ; ;6;;;;-;;;-;6;;6;-;-;;-;-;-;;3;;-;4;4;4;4;4;4;4;3;4;4;2;;2;;;12;15;4;;;-;;-;6;;;5;;1;6;4;4;2;2;5;4;3;4;3;4;4;4;3;2;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;-;3;4;4;2;4;3;4;2;4;3;2;3;3;4;3;2;2;2;-;;;;;-;;;;;;;;;-;-;-;-;-;-;-;-;-;1;1;2;3;;;;5;6;;Tropicana radio uno;RDio uno;Radio uno;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;1;2;;;Google;-;-;-;-;-;3;1;;;;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;1;3;5
71;1;1;1;4;3;-;;;-;-;-;-;-;-;-;-;-;2;;;;;1;3;4;1;1;-;1;;-;5;5;5;1;5;5;5;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;;;;;;;;-;;;1;2;;3;4;;;1;-;2;;3;;;;6;;;4;8;10;11;;;;;;;;11;;;;;;;;;; ; ; ;-; ; ; ;-; ;-;1; ;1;5;4;;102;104;;-;1;4;1;1;-;;-;-;-;;-;;-;4;4;4;3;3;3;2;3;3;2;1;;10;;;800;;800;;;-;;-;800;;;901;;-;;1;5;5;1;5;5;5;5;1;5;5;1;5;1;5;5;1;1;1;5;5;5;1;5;5;5;5;1;5;-;3;1;1;5;5;5;5;1;5;1;1;5;3;5;5;5;1;1;6;7;8;9;;4;32;21;;;;;;;-;-;-;-;-;NOTICIAS NO RECUERDA NOMBRE;DEPORTES NO RECUERDA NOMBRE;NOVELA NO RECUERDA NOMBRE;NOVELA NO RECUERDA NOMBRE;1;1;2;3;;;;7;14;8;Caracol;Candela;Rcn;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;99;;;;-;-;-;-;-;-;994;;;;;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;2;3;2
68;1;2;1;2;3;3;;;2;1;-;-;1;1;-;1;-;-;;;;;-;-;-;-;-;-;-;;-;5;5;4;3;4;5;4;4;5;5;-;-;-;-;-;-;-;-;-;-;-;2;8;4;;;;;;-;;;1;4;;3;4;2;;5;-;-;;5;3;;;1;2;3;1;2;10;;;;;;;;;1;;;;;;;;;;2;-; ; ; ; ; ; ; ;-; ; ;6;;;;-;;;-;6;;4;-;-;;-;1;-;;-;;-;4;4;4;5;5;5;5;4;4;3;9;;1;800;;3;12;15;19;;4;;-;800;;;11;;-;;3;4;4;4;3;5;5;3;4;2;2;2;2;3;2;1;1;1;1;3;3;3;3;2;2;2;3;3;3;-;2;3;3;3;2;2;2;2;1;1;1;1;1;1;1;1;2;1;7;6;;;;4;1;15;7;14;;;;;-;-;-;-;-;NOTICIAS CARACOL;DESAFIÓ 2022;-;-;2;-;;;;;;-;;;-;-;-;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;99;;;; ;-;-;-;-;-;1;3;4;5;;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;1;1;7
75;1;1;1;2;4;-;;;-;-;-;-;-;-;-;-;-;1;5;3;;;2;2;4;1;2;-;1;;-;4;4;5;5;5;5;5;4;4;5;-;-;-;-;-;-;-;-;-;-;-;1;2;;;;;;;-;;;1;2;4;3;4;2;;3;5;-;;3;1;;;6;;;2;8;4;6;1;;;;;;;2;4;8;1;6;;;;;;4;1; ;2; ;5; ;3; ; ; ; ;1;4;5;;101;102;;-;1;;3;-;-;;2;-;-;;-;;-;5;5;5;5;4;4;5;3;5;5;1;;5;;;3;;800;;;-;;-;4;;;3;;-;;5;5;4;5;5;5;5;5;4;4;5;5;4;5;4;5;5;5;5;4;4;4;4;4;5;5;5;4;5;-;5;5;4;5;5;4;5;5;4;5;5;5;5;4;4;4;1;1;7;;;;;21;;;;;;;;;-;-;-;-;-;-;NOVELA NO RECUERDA EL NOMBRE;-;-;2;-;;;;;;-;;;-;-;-;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;99;;;;-;-;-;-;-;-;1;3;4;5;6;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;1;1;6
77;1;2;1;2;3;1;;;1;1;-;-;1;1;-;2;-;-;;;;;-;-;-;-;-;-;-;;-;4;4;4;4;4;3;4;4;4;4;-;-;-;-;-;-;-;-;-;-;-;1;2;3;4;5;6;7;8;-;;;1;;;3;4;;;1;-;2;;1;4;;;1;;;3;10;6;;;;;;;;;6;;;;;;;;;; ; ;-; ; ;-2; ; ; ;-; ; ;1;;;;102;;;-;1;;4;-;-;;-;1;-;;-;;-;5;4;4;5;3;4;4;5;5;5;1;;4;;;12;;13;;;-;;-;4;;;13;;-;;4;4;2;2;4;4;4;4;2;4;2;2;4;2;4;4;2;4;2;4;4;4;2;2;4;4;4;4;4;-;4;4;4;4;4;2;4;2;4;4;4;2;2;2;2;4;2;2;-;;;;;-;;;;;;;;;-;-;-;-;-;-;-;-;-;1;2;;;;;;18;;;-;La x;-;-;-;-;-;-;-;1;12;16;;;El tiempo;Adn;0;-;-;-;1;2;;;#¿NOMBRE?;-;-;-;-;-;1;3;6;;;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;2;1;5
76;1;1;1;3;3;-;;;-;-;-;-;-;-;-;-;-;2;3;1;5;4;3;2;4;1;1;-;1;;-;5;5;5;5;4;4;5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;2;;;;;;;;-;;;1;;;3;;;;5;-;-;;2;3;;;1;;;2;8;5;4;10;;;;;;;2;4;5;10;8;;;;;; ;1; ;3;-3; ; ;-5; ;-4; ; ;7;;;;-;;;-;8;;2;-;3;;-;-;-;;-;;-;4;4;4;4;4;4;4;4;4;4;1;;2;;;2;;992;;;5;8;-;9;;;4;;-;;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;4;5;3;5;5;5;5;5;4;5;5;5;5;-;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;4;2;1;7;;;;;32;;;;;;;;;-;-;-;-;-;-;DEPORTES NO RECUERDA EL CANAL;-;-;2;-;;;;;;-;;;-;-;-;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;99;;;;-;-;-;-;-;-;1;2;3;6;;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;2;1;8
60;1;2;1;3;3;2;3;1;2;2;3;3;2;1;-;1;-;-;;;;;-;-;-;-;-;-;-;;-;5;4;5;4;4;5;5;5;4;5;-;-;-;-;-;-;-;-;-;-;-;1;2;3;4;5;6;7;8;-;;;1;;;3;;;;5;-;-;;1;4;;;1;;;2;4;8;;;;;;;;;8;4;2;;;;;;;; ;2; ;3; ; ; ;1; ; ; ; ;1;;;;103;;;-;1;;6;-;-;;-;-;-;;1;;-;4;4;4;4;3;3;3;2;4;4;1;;13;;;2;;15;5;;-;;-;10;;;4;;-;;5;5;5;3;3;5;4;5;5;5;4;5;3;4;4;3;5;5;3;2;2;3;2;2;3;5;2;3;4;-;4;3;4;3;3;4;5;1;2;2;1;1;1;4;4;4;1;1;1;2;3;;;4;2;5;;;;;;;NOTICIAS RCN;NOTICIAS RCN;CANALES DE VARIEDADES NO RECUERDA NOMBRE;-;-;-;-;-;-;2;-;;;;;;-;;;-;-;-;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;99;;;;-;-;-;-;-;-;4;3;;;;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;1;1;4
57;1;1;1;3;3;-;;;-;-;-;-;-;-;-;-;-;3;;;;;2;1;1;1;1;-;1;;-;4;5;2;5;5;5;4;4;5;4;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;-;;;1;;;2;4;;;3;3;-;;-;;;;-;;;2;;;;;;;;;;;2;;;;;;;;;;2;1; ; ; ; ; ;-; ; ;-; ;-;;;;-;;;-;-;;4;-;-;;-;1;-;;-;;-;4;4;4;4;2;2;3;2;2;2;1;4;2;;;10;;13;;;-;;-;9;;;3;;-;;2;2;4;5;4;3;5;4;5;4;4;4;3;3;2;5;5;5;5;4;3;4;5;4;4;4;4;4;4;-;3;4;4;3;4;2;3;4;4;4;4;4;4;4;4;4;1;1;1;2;;;;4;6;;;;;;;;NOTICIAS CITYTV;NOTICIAS CITYTV;-;-;-;-;-;-;-;2;-;;;;;;-;;;-;-;-;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;99;;;;-;-;-;-;-;-;994;;;;;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;1;2;1
62;1;2;1;2;3;1;;;1;1;-;-;2;1;-;1;-;-;;;;;-;-;-;-;-;-;-;;-;4;4;4;4;4;4;4;4;3;4;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;5;2;;1;;;5;;;;5;-;-;;6;;;;3;;;2;;;;;;;;;;;2;;;;;;;;;; ;1; ; ; ; ; ; ; ; ; ; ;1;2;;;113;;;206;1;;6;-;-;;-;-;-;;3;;-;4;4;4;4;4;4;4;3;4;3;1;;13;;;7;;14;;;1;10;-;12;13;;5;14;-;;4;4;3;2;4;4;4;4;4;4;2;4;4;2;4;4;3;4;3;4;4;4;2;4;4;2;4;4;4;-;4;4;4;4;4;2;4;4;4;4;4;3;2;4;3;4;2;1;6;7;;;;4;1;;;;;;;;-;-;-;-;-;NOTICIAS CARACOL;CARACOL;-;-;1;2;;;;;;9;;;-;La fm;-;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;1;2;;;Google;-;-;-;-;-;1;3;6;;;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;2;3;6
67;1;1;1;2;3;-;;;-;-;-;-;-;-;-;-;-;5;;;;;3;2;8;1;3;3;-;;5;5;5;5;4;5;5;5;5;4;5;5;5;5;4;5;5;5;5;4;5;5;-;;;;;;;;-;;;1;;;2;4;;;2;-;-;;-;;;;-;;;1;6;9;;;;;;;;;6;;;;;;;;;;-; ; ; ; ;1; ; ;-; ; ; ;-;;;;-;;;-;-;;4;-;-;;-;3;-;;-;;-;1;4;4;5;4;4;4;4;4;4;1;;13;;;901;;15;;;-;;-;3;4;;3;800;-;;5;4;4;3;4;5;5;5;2;5;5;5;4;4;5;4;5;5;4;5;5;4;5;3;5;3;5;5;5;5;5;2;3;5;4;4;5;5;2;1;2;4;3;4;5;5;1;1;1;7;8;;;4;1;6;15;7;;;;;NOTICIAS CARACOL Y CITY TV;-;-;-;-;-;DESAFIÓ 2022;SERIES CARACOL;-;2;-;;;;;;-;;;-;-;-;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;99;;;;-;-;-;-;-;-;1;3;4;6;5;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;2;3;5
65;1;2;1;3;3;2;;;1;2;3;4;1;1;-;1;-;-;;;;;-;-;-;-;-;-;-;;-;5;5;5;5;5;5;5;4;4;5;-;-;-;-;-;-;-;-;-;-;-;2;8;;;;;;;-;;;1;4;;3;6;2;;5;-;-;;3;2;4;;1;;;1;4;7;10;;;;;;;;4;1;;;;;;;;;4; ; ;3; ; ;-; ; ;-; ; ;5;6;;;-;;;-;6;;2;-;3;;-;-;-;;-;;-;4;3;5;5;5;5;5;4;4;4;1;;10;;;3;;18;;;5;8;-;8;;;992;;-;;4;5;4;4;4;5;4;5;5;4;4;1;4;5;3;4;1;1;3;4;3;2;3;3;3;1;1;4;1;-;3;1;2;3;3;2;2;2;3;2;3;3;3;3;3;3;2;2;-;;;;;-;;;;;;;;;-;-;-;-;-;-;-;-;-;2;-;;;;;;-;;;-;-;-;-;-;-;-;-;-;2;-;;;;-;-;-;-;-;-;99;;;;-;-;-;-;-;-;1;3;6;;;-;-;-;-;-;-;-;99;-;-;-;-;-;-;99;;-;-;-;-;-;-;2;3;7
